time,q1,q2,q3,dq1,dq2,dq3,ddq1,ddq2,ddq3,tau1,tau2,tau3,x,y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4152755082059282,-0.20493928296328173,-0.06651411356130568,0.0,0.0
0.0020833333333333333,0.0005555555555555557,0.0005555555555555557,0.0005555555555555557,0.27777777777777785,0.27777777777777785,0.27777777777777785,138.8888888888889,138.8888888888889,138.8888888888889,2.1286179514856673e-07,1.7924317216328617e-07,8.23432664745884e-08,0.001666666666666667,0.0
0.004166666666666667,0.0011111111111111113,0.0011111111111111113,0.0011111111111111113,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,9.07010240636108e-07,8.067434996523667e-07,3.7900681625418976e-07,0.003333333333333334,0.0
0.00625,0.001666666666666667,0.001666666666666667,0.001666666666666667,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,2.00380086398666e-06,1.8377686096186351e-06,8.736372531447739e-07,0.005000000000000001,0.0
0.008333333333333333,0.0022222222222222227,0.0022222222222222227,0.0022222222222222227,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,3.5032545055713182e-06,3.2723371835732904e-06,1.5662427416765365e-06,0.006666666666666668,0.0
0.010416666666666666,0.002777777777777778,0.002777777777777778,0.002777777777777778,0.2777777777777776,0.2777777777777776,0.2777777777777776,-1.1102230246251565e-13,-1.1102230246251565e-13,-1.1102230246251565e-13,5.405420019519158e-06,5.110495351020195e-06,2.456844580642041e-06,0.008333333333333333,0.0
0.0125,0.003333333333333334,0.003333333333333334,0.003333333333333334,0.27777777777777807,0.27777777777777807,0.27777777777777807,2.220446049250313e-13,2.220446049250313e-13,2.220446049250313e-13,7.710386401821312e-06,7.3523292289793315e-06,3.545483448703956e-06,0.010000000000000002,0.0
0.014583333333333334,0.003888888888888889,0.003888888888888889,0.003888888888888889,0.2777777777777776,0.2777777777777776,0.2777777777777776,-2.220446049250313e-13,-2.220446049250313e-13,-2.220446049250313e-13,1.0418294922279192e-05,9.997977464469262e-06,4.832225652408594e-06,0.011666666666666667,0.0
0.016666666666666666,0.004444444444444445,0.004444444444444445,0.004444444444444445,0.27777777777777807,0.27777777777777807,0.27777777777777807,2.220446049250313e-13,2.220446049250313e-13,2.220446049250313e-13,1.3529351261046263e-05,1.3047643789135905e-05,6.317169380292426e-06,0.013333333333333336,0.0
0.01875,0.005,0.005,0.005,0.2777777777777774,0.2777777777777774,0.2777777777777774,-3.3306690738754696e-13,-3.3306690738754696e-13,-3.3306690738754696e-13,1.704383765403772e-05,1.650160958756395e-05,8.000450964918042e-06,0.015,0.0
0.020833333333333332,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.27777777777777785,0.27777777777777785,0.27777777777777785,2.220446049250313e-13,2.220446049250313e-13,2.220446049250313e-13,2.096212505460493e-05,2.0360246486142777e-05,9.882251157396338e-06,0.016666666666666666,0.0
0.022916666666666665,0.006111111111111111,0.006111111111111111,0.006111111111111111,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,2.528468531093342e-05,2.4624028974470826e-05,1.1962801420030197e-05,0.018333333333333333,0.0
0.025,0.006666666666666668,0.006666666666666668,0.006666666666666668,0.27777777777777823,0.27777777777777823,0.27777777777777823,1.942890293094024e-13,1.942890293094024e-13,1.942890293094024e-13,3.001210337540139e-05,2.929354706817538e-05,1.4242390242091276e-05,0.020000000000000004,0.0
0.027083333333333334,0.007222222222222224,0.007222222222222224,0.007222222222222224,0.27777777777777785,0.27777777777777785,0.27777777777777785,-1.942890293094024e-13,-1.942890293094024e-13,-1.942890293094024e-13,3.5145089543969776e-05,3.4369519019642174e-05,1.6721369484179368e-05,0.02166666666666667,0.0
0.029166666666666667,0.007777777777777778,0.007777777777777778,0.007777777777777778,0.2777777777777774,0.2777777777777774,0.2777777777777774,-2.220446049250313e-13,-2.220446049250313e-13,-2.220446049250313e-13,4.068449174111921e-05,3.985280409856849e-05,1.9400160760487805e-05,0.023333333333333334,0.0
0.03125,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.2777777777777774,0.2777777777777774,0.2777777777777774,0.0,0.0,0.0,4.663130785780012e-05,4.5744415448107246e-05,2.227926186578556e-05,0.025,0.0
0.03333333333333333,0.00888888888888889,0.00888888888888889,0.00888888888888889,0.2777777777777787,0.2777777777777787,0.2777777777777787,6.38378239159465e-13,6.38378239159465e-13,6.38378239159465e-13,5.298669815312351e-05,5.2045533037131273e-05,2.535925325536286e-05,0.026666666666666672,0.0
0.035416666666666666,0.009444444444444445,0.009444444444444445,0.009444444444444445,0.27777777777777696,0.27777777777777696,0.27777777777777696,-8.604228440844963e-13,-8.604228440844963e-13,-8.604228440844963e-13,5.975199773007589e-05,5.875751672480226e-05,2.8640804589793686e-05,0.028333333333333335,0.0
0.0375,0.01,0.01,0.01,0.27777777777777785,0.27777777777777785,0.27777777777777785,4.440892098500626e-13,4.440892098500626e-13,4.440892098500626e-13,6.692872910382675e-05,6.58819194553446e-05,3.212468135288402e-05,0.03,0.0
0.03958333333333333,0.010555555555555556,0.010555555555555556,0.010555555555555556,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,7.451861487005329e-05,7.342050060498979e-05,3.5811751555982825e-05,0.03166666666666667,0.0
